0.633462077,-3.237705358,3.4035651,-0.405262231,-14.3082863,-1.530521949,13.46680278,24.88484879,7.437791112,27.52678342,-5.633357285,3.141089809
0.542632157,-3.294384431,3.312838634,-0.475486366,-14.16192096,-1.119752742,12.72582242,23.9195314,7.093591107,28.08842812,-5.580619136,3.293179114
0.459935496,-3.353671596,3.223473757,-0.540349258,-13.71499392,-0.596622822,12.00306191,22.64671163,7.02161943,28.49348924,-5.218897286,3.920079525
0.382084655,-3.412786501,3.140238559,-0.607820606,-12.94431027,0.009531864,11.27280632,21.17796623,7.246738684,28.57526673,-4.589039428,4.806148593
0.299321339,-3.469866106,3.064573078,-0.679662142,-11.86203225,0.707963674,10.55563516,19.69149277,7.76301479,28.33343494,-3.741000035,5.82303515
0.213636746,-3.517937396,2.982770923,-0.750038519,-10.48111634,1.518905619,9.860516201,18.36200292,8.558633724,28.02086338,-2.672392083,7.063194881
0.134441127,-3.558781218,2.887568375,-0.812261933,-8.843774729,2.448784798,9.111021232,17.23164723,9.401502298,27.76315804,-1.512826352,8.362709093
0.070672791,-3.600248574,2.779404027,-0.864263672,-7.054204919,3.484474598,8.238595698,16.19833676,9.96831784,27.29660834,-0.477034091,9.469483261
0.024576225,-3.64088168,2.667256762,-0.904928243,-5.193552761,4.601027286,7.139886528,15.16961082,9.880383478,26.36698295,0.220599683,10.26180691
-0.001419638,-3.677124954,2.557324424,-0.93551824,-3.355223497,5.817648477,5.777934216,14.08010561,9.096617331,25.00961839,0.595536196,10.79437273
-0.004969267,-3.708683484,2.455047129,-0.955960368,-1.62244056,7.131024393,4.187553054,12.90419781,7.864805267,23.28923273,0.874564088,11.04665968
0.009224753,-3.730608845,2.366715841,-0.967877572,-0.024096271,8.528219714,2.41847259,11.74261615,6.455310089,21.44595199,1.326429724,11.02744543
0.036839939,-3.739510952,2.296926822,-0.973699435,1.436674779,9.99582396,0.554269283,10.73988588,5.046931683,19.67822548,1.929335437,10.98990482
0.072682196,-3.734403763,2.244796062,-0.978844877,2.751836643,11.50369495,-1.312242117,9.944889553,3.744649283,18.23302525,2.605071721,11.08674936
0.11488734,-3.712531617,2.215588168,-0.984398036,3.905038219,13.03303681,-3.121606652,9.383236673,2.605007645,17.11809101,3.208320885,11.41051138
0.1677835,-3.672242004,2.204360721,-0.986933668,4.884073514,14.56302931,-4.911060706,8.897361877,1.711969695,16.38103147,3.802854819,12.01479098
0.232432334,-3.613751707,2.203666706,-0.984037507,5.678390286,16.0624823,-6.598472262,8.415140592,1.135878567,16.0872443,4.442545136,12.69705018
0.313071019,-3.539871133,2.216828229,-0.961782271,6.298256268,17.49245691,-8.184756701,7.842220642,0.71110259,16.53264484,4.96093319,13.51606072
0.407220962,-3.449549442,2.242186831,-0.911439781,6.777268783,18.79352854,-9.644613799,7.070883339,0.476769685,18.07584921,5.361524295,14.51395191
0.50852504,-3.34739841,2.276381491,-0.836480219,7.13712789,19.92427707,-10.933669,6.279749522,0.763639484,20.47234144,5.717513974,15.31146577
0.612354291,-3.236409832,2.313700974,-0.741768315,7.386415556,20.8576027,-12.01898456,5.49144558,1.859332299,23.34300373,5.821517792,15.86237833
0.71699257,-3.123535317,2.350825727,-0.629763826,7.520477789,21.5573712,-12.92465141,4.845094526,3.468259783,26.55897733,5.279482755,16.11642313
0.821598033,-3.011745747,2.388051296,-0.507776208,7.539238548,22.02787644,-13.62770295,4.342832241,5.515415159,29.95878319,4.026729523,15.75731591
0.922928492,-2.903067423,2.42337666,-0.379839681,7.455839803,22.26947115,-14.04206615,4.055059139,8.01043695,33.44809812,2.124054449,14.42758843
1.01981381,-2.801204855,2.460784086,-0.242332142,7.292459839,22.27377844,-13.89050929,4.16659014,11.48789818,37.05308206,-0.299221751,12.04559925
1.112359557,-2.704621747,2.504666583,-0.092150255,7.025722747,22.02663828,-12.85898412,4.87227106,16.45722225,40.89878973,-2.82101758,8.91765172
1.205122154,-2.606149849,2.560913094,0.070639344,6.647526375,21.53683405,-11.09067924,6.102000831,22.45164529,44.83042265,-4.997814223,5.840201456
1.302963264,-2.509186987,2.633593418,0.238098563,6.149760184,20.80993095,-8.958368637,7.689925008,28.63568453,48.51196355,-6.42485338,3.749291326
1.396871461,-2.413431989,2.72418865,0.406155331,5.539541577,19.87315672,-6.699881694,9.51574929,34.35005729,51.74319644,-7.183400781,2.537026946
1.475247576,-2.322257031,2.832321599,0.567158898,4.837413537,18.71877749,-4.448205412,11.45611021,38.99338422,54.3196057,-7.895214587,1.456463353
1.532736908,-2.23894131,2.958018407,0.71515739,4.036685519,17.3545848,-2.230437356,13.35452666,42.13102065,56.2089351,-8.62493579,0.579550994
1.575244991,-2.170001551,3.101931611,0.839442329,3.158813918,15.8335646,-0.083141379,15.10719168,43.80453254,57.4552411,-8.910890455,0.285787567
1.606775646,-2.116983422,3.258104545,0.940504751,2.222445472,14.19210143,2.055553766,16.66458751,44.47033455,58.28178462,-8.598913471,0.721287932
1.628410016,-2.080200102,3.418403382,1.014170663,1.246297879,12.4344647,4.257418315,18.07630696,44.40113716,58.79084001,-7.916650473,1.577280235
1.639214401,-2.061646188,3.572289045,1.051831851,0.199314758,10.62118553,6.454816364,19.32578946,43.53658313,58.82324514,-7.209964774,2.51671797
1.634088491,-2.06144611,3.70820372,1.058424084,-0.919681942,8.811351649,8.4943977,20.38464912,41.75347675,58.00066463,-6.782337363,3.269288877
1.617828504,-2.076681098,3.826868568,1.040967758,-2.093231702,7.055856803,10.30093684,21.34914843,39.25558814,56.01575377,-6.550249834,3.567701412
1.594943661,-2.10929428,3.926865843,1.002035696,-3.322880001,5.395174653,11.8479343,22.25662834,36.24662318,52.84092087,-6.464006463,3.338638496
1.565757138,-2.16201957,4.008715867,0.941503975,-4.586963116,3.875087247,13.00634197,23.11656266,32.88018273,48.72161312,-6.584393011,2.736932003
1.532320844,-2.235436852,4.069581907,0.858692661,-5.851828814,2.538338912,13.86286024,23.90581485,29.34151069,43.99958233,-6.781062005,2.114286609
1.497100031,-2.325935605,4.100520616,0.762247306,-7.07645222,1.409413101,14.6217846,24.53611095,25.75225158,39.09888861,-6.912758467,1.77437619
1.456974623,-2.432567416,4.099309927,0.652258313,-8.222878063,0.473632523,15.29741718,25.02013587,22.17500135,34.6102523,-6.848406059,1.873366174
1.407028443,-2.551776847,4.067114319,0.529949812,-9.268174193,-0.303905085,15.88621704,25.4014219,18.81935833,31.08137302,-6.586601997,2.35976104
1.346562457,-2.674135354,4.016105463,0.399374946,-10.21072158,-0.940565558,16.30519181,25.75752242,15.92385151,28.64540637,-6.238714979,3.04010249
1.269361842,-2.790935055,3.955155333,0.265260714,-11.06267118,-1.409003842,16.47785811,26.08677591,13.59706538,27.16671388,-5.837279485,3.784873367
1.17750152,-2.89925368,3.885763785,0.127396683,-11.8421491,-1.726262968,16.40210509,26.32097693,11.78094317,26.41860884,-5.480964126,4.282846652
1.079157672,-2.995239195,3.81189459,-0.007020134,-12.55055798,-1.906412622,16.13150849,26.39246964,10.48065251,26.15810039,-5.389553736,4.402852023
0.975045628,-3.081739959,3.729709783,-0.133360498,-13.16029021,-1.95903728,15.6623976,26.32132935,9.581842987,26.37095749,-5.418940585,4.229920038
0.870056905,-3.159941543,3.644608449,-0.248424281,-13.65498015,-1.889886516,14.98236274,26.07885712,8.84697209,26.86567477,-5.429476839,3.863719988
0.774322157,-3.224364936,3.560097497,-0.347015074,-13.99164032,-1.71400796,14.19265572,25.62271769,8.119045871,27.39249108,-5.562159135,3.416129925
0.683711429,-3.279453361,3.475932389,-0.431449536,-14.12553657,-1.432198371,13.41576112,24.94043322,7.478007808,27.80159949,-5.728304645,3.115417193
